Rank,Bank name,Total assets (2024) (US$ billion)
1,Industrial and Commercial Bank of China,6303.44
2,Agricultural Bank of China,5623.12
3,China Construction Bank,5400.28
4,Bank of China,4578.28
5,JPMorgan Chase,4002.81
6,Bank of America,3349.42
7,HSBC,2919.84
8,BNP Paribas,2867.44
9,Mitsubishi UFJ Financial Group,2816.77
10,Crédit Agricole,2736.95
11,Postal Savings Bank of China,2217.86
12,Citigroup,2200.83
13,SMBC Group,2027.34
14,Banco Santander,1986.36
15,Bank of Communications,1982.89
16,Wells Fargo,1932.47
17,Mizuho Financial Group,1923.56
18,Barclays,1891.72
19,Société Générale,1717.49
20,UBS,1717.25
21,Groupe BPCE,1706.8
22,Goldman Sachs,1641.59
23,Japan Post Bank,1625.6
24,Royal Bank of Canada,1566.41
25,China Merchants Bank,1555.3
26,Deutsche Bank,1450.57
27,Industrial Bank (China),1432.59
28,Toronto-Dominion Bank,1428.29
29,China CITIC Bank,1276.63
30,Crédit Mutuel,1262.95
31,Shanghai Pudong Development Bank,1207.18
32,Morgan Stanley,1193.69
33,Lloyds Banking Group,1122.76
34,China Minsheng Bank,1082.37
35,ING Group,1078.35
36,Intesa Sanpaolo,1066.74
37,Scotiabank,1041.11
38,Bank of Montreal,990.19
39,China Everbright Bank,955.14
40,NatWest Group,882.3
41,UniCredit,872.9
42,Commonwealth Bank,868.74
43,Banco Bilbao Vizcaya Argentaria,857.25
44,Standard Chartered,822.84
45,La Banque postale,815.91
46,Ping An Bank,787.93
47,State Bank of India,780.05
48,ANZ Group,769.59
49,Canadian Imperial Bank of Commerce,726.27
50,DZ Bank,712.49
51,Norinchukin Bank,702.03
52,National Australia Bank,683.41
53,Rabobank,678.45
54,CaixaBank,671.13
55,Westpac,664.5
56,U.S. Bancorp,663.49
57,Nordea,662.71
58,Capital One,629.99
59,Sberbank of Russia,581.88
60,Commerzbank,571.64
61,Huaxia Bank,562.58
62,PNC Financial Services,561.58
63,DBS Group,560.1
64,Itaú Unibanco,555.72
65,KB Financial Group,551.94
66,Danske Bank,542.81
67,Truist Financial Corp,535.35
68,Shinhan Financial Group,533.48
69,Resona Holdings,527.53
70,Sumitomo Mitsui Trust Holdings,520.34
71,Bank of Beijing,503.31
72,China Guangfa Bank,495.55
73,Charles Schwab Corporation,493.18
74,HDFC Bank,464.34
75,Bank of Jiangsu,457.25
76,Hana Financial Group,456.47
77,Banco do Brasil,447.72
78,Nationwide Building Society,446.95
79,China Zheshang Bank,443.37
80,Oversea-Chinese Banking Corporation,441.53
81,Bank of Shanghai,435.14
82,ABN AMRO,417.72
83,BNY,409.88
84,United Overseas Bank,396.62
85,Banco Bradesco,394.76
86,Nonghyup Bank,394.46
87,Nomura Holdings,388.42
88,Woori Financial Group,384.04
89,KBC Group,383.47
90,Caixa Econômica Federal,377.29
91,Erste Group,372.67
92,Landesbank Baden-Württemberg,368.41
93,Bank of Ningbo,365.96
94,SEB Group,358.79
95,Raiffeisen Group,352.87
96,Handelsbanken,351.79
97,Industrial Bank of Korea,345.81
98,DNB,339.21
99,Qatar National Bank,338.14
100,National Bank of Canada,337.65
